KEGG_Foam_pathway	KEGG_Foam_pathway	Univocal number of KEGG codes	Total number of KEGG codes	Univocal number of genes	Total number of genes	Output type
M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	12	25	22	25	KEGG_MODULE
M00002	Glycolysis, core module involving three-carbon compounds	8	16	13	16	KEGG_MODULE
M00003	Gluconeogenesis, oxaloacetate => fructose-6P	0	0	0	0	KEGG_MODULE
M00004	Pentose phosphate pathway (Pentose phosphate cycle)	0	0	0	0	KEGG_MODULE
M00005	PRPP biosynthesis, ribose 5P => PRPP	0	0	0	0	KEGG_MODULE
M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	0	0	0	0	KEGG_MODULE
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	0	0	0	0	KEGG_MODULE
M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0	0	0	0	KEGG_MODULE
M00009	Citrate cycle (TCA cycle, Krebs cycle)	0	0	0	0	KEGG_MODULE
M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	0	0	0	0	KEGG_MODULE
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	0	0	0	0	KEGG_MODULE
M00012	Glyoxylate cycle	0	0	0	0	KEGG_MODULE
M00015	Proline biosynthesis, glutamate => proline	0	0	0	0	KEGG_MODULE
M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	0	0	0	0	KEGG_MODULE
M00017	Methionine biosynthesis, apartate => homoserine => methionine	0	0	0	0	KEGG_MODULE
M00018	Threonine biosynthesis, aspartate => homoserine => threonine	0	0	0	0	KEGG_MODULE
M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	0	0	0	0	KEGG_MODULE
M00020	Serine biosynthesis, glycerate-3P => serine	0	0	0	0	KEGG_MODULE
M00021	Cysteine biosynthesis, serine => cysteine	0	0	0	0	KEGG_MODULE
M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	0	0	0	0	KEGG_MODULE
M00023	Tryptophan biosynthesis, chorismate => tryptophan	0	0	0	0	KEGG_MODULE
M00024	Phenylalanine biosynthesis, chorismate => phenylalanine	0	0	0	0	KEGG_MODULE
M00025	Tyrosine biosynthesis, chorismate => tyrosine	0	0	0	0	KEGG_MODULE
M00026	Histidine biosynthesis, PRPP => histidine	0	0	0	0	KEGG_MODULE
M00027	GABA (gamma-Aminobutyrate) shunt	0	0	0	0	KEGG_MODULE
M00028	Ornithine biosynthesis, glutamate => ornithine	0	0	0	0	KEGG_MODULE
M00031	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	0	0	0	0	KEGG_MODULE
M00033	Ectoine biosynthesis, aspartate => ectoine	0	0	0	0	KEGG_MODULE
M00034	Methionine salvage pathway	0	0	0	0	KEGG_MODULE
M00035	Methionine degradation	0	0	0	0	KEGG_MODULE
M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA	0	0	0	0	KEGG_MODULE
M00038	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	0	0	0	0	KEGG_MODULE
